"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-24","0.00",,"68","58","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-25",,,"69","43","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-26",,,"80","51","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-27","1.39",,"72","68","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-28","0.02",,"73","63","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-29","0.01",,"66","57","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-30",,,"73","42","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-31",,,"63","43","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-01",,,"62","40","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-02",,,"72","48","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-03",,,"74","52","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-04",,,"74","49","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-05",,,"73","49","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-06",,,"69","49","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-07",,,"68","45","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-08","0.05",,"67","47","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-09","0.13",,"60","55","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-10","0.07",,"62","57","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-11","0.20",,"63","59","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-12","0.30",,"64","60","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-13","0.14",,"63","61","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-14",,,"78","64","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-15","0.10",,"81","62","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-16","0.07",,"79","55","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-17",,,"83","54","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-18",,,"81","61","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-19","0.02",,"79","73","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-20","0.26",,"75","50","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-21","0.00",,"62","55","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-22","0.01",,"57","47","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-23","0.06",,"60","46","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-24","0.05",,"54","43","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-25",,,"57","32","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-26",,,"60","46","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-27",,,"67","35","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-28","0.00",,"70","46","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-29","0.47",,"71","61","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-11-30","0.60",,"70","52","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-01",,,"63","41","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-02",,,"62","45","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-03",,,"68","50","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-04","0.02",,"72","60","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-05","2.55",,"68","49","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-06","0.03",,"51","42","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-07",,,"51","43","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-08",,,"60","37","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-09",,,"66","42","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-10","0.04",,"67","52","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-11",,,"69","55","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-12",,,"64","54","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-13",,,"68","49","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-14",,,"70","40","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-15",,,"58","44","44"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-16",,,"44","41","43"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-17",,,"50","33","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-18","0.41",,"59","46","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-19",,,"59","37","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-12-20",,,"57","38","46"
