Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
20150715T04-05,,37288,,,,,,
20150715T05-05,,36929,,,,,,
20150715T06-05,,37933,,,,,,
20150715T07-05,,39396,,,,,,
20150715T08-05,,40502,,,,,,
20150715T09-05,,43143,,,,,,
20150715T10-05,,46491,,,,,,
20150715T11-05,,50201,,,,,,
20150715T12-05,,53740,,,,,,
20150715T13-05,,56970,,,,,,
20150715T14-05,,59835,,,,,,
20150715T15-05,,61961,,,,,,
20150715T16-05,,63536,,,,,,
20150715T17-05,,64558,,,,,,
20150715T18-05,,64270,,,,,,
20150715T19-05,,62890,,,,,,
20150715T20-05,,60380,,,,,,
20150715T21-05,,57753,,,,,,
20150715T22-05,,55682,,,,,,
20150715T23-05,,51667,,,,,,
20150716T00-05,,47173,,,,,,
20150716T01-05,,43306,,,,,,
20150716T02-05,,40675,,,,,,
20150716T03-05,,38781,,,,,,
20150716T04-05,,37628,,,,,,
20150716T05-05,,37344,,,,,,
20150716T06-05,,38385,,,,,,
20150716T07-05,,39830,,,,,,
20150716T08-05,,41039,,,,,,
20150716T09-05,,43719,,,,,,
20150716T10-05,,46964,,,,,,
20150716T11-05,,50614,,,,,,
20150716T12-05,,53898,,,,,,
20150716T13-05,,56805,,,,,,
20150716T14-05,,59723,,,,,,
20150716T15-05,,61975,,,,,,
20150716T16-05,,63559,,,,,,
20150716T17-05,,64375,,,,,,
20150716T18-05,,63950,,,,,,
20150716T19-05,,62327,,,,,,
20150716T20-05,,59977,,,,,,
20150716T21-05,,57602,,,,,,
20150716T22-05,,55760,,,,,,
20150716T23-05,,51958,,,,,,
20150717T00-05,,47701,,,,,,
20150717T01-05,,44053,,,,,,
20150717T02-05,,41309,,,,,,
20150717T03-05,,39394,,,,,,
20150717T04-05,,38288,,,,,,
20150717T05-05,,37970,,,,,,
20150717T06-05,,38805,,,,,,
20150717T07-05,,39933,,,,,,
20150717T08-05,,41121,,,,,,
20150717T09-05,,43822,,,,,,
20150717T10-05,,47442,,,,,,
20150717T11-05,,51099,,,,,,
20150717T12-05,,54518,,,,,,
20150717T13-05,,57500,,,,,,
20150717T14-05,,60180,,,,,,
20150717T15-05,,62122,,,,,,
20150717T16-05,,63287,,,,,,
20150717T17-05,,64041,,,,,,
20150717T18-05,,63701,,,,,,
20150717T19-05,,62008,,,,,,
20150717T20-05,,59529,,,,,,
20150717T21-05,,57036,,,,,,
20150717T22-05,,55421,,,,,,
20150717T23-05,,52098,,,,,,
20150718T00-05,,48294,,,,,,
20150718T01-05,,44973,,,,,,
20150718T02-05,,42357,,,,,,
20150718T03-05,,40545,,,,,,
20150718T04-05,,39244,,,,,,
20150718T05-05,,38413,,,,,,
20150718T06-05,,38215,,,,,,
20150718T07-05,,38143,,,,,,
20150718T08-05,,38733,,,,,,
20150718T09-05,,42025,,,,,,
20150718T10-05,,45875,,,,,,
20150718T11-05,,49872,,,,,,
20150718T12-05,,53490,,,,,,
20150718T13-05,,56458,,,,,,
20150718T14-05,,58868,,,,,,
20150718T15-05,,60884,,,,,,
20150718T16-05,,62211,,,,,,
20150718T17-05,,62932,,,,,,
20150718T18-05,,62657,,,,,,
20150718T19-05,,61497,,,,,,
20150718T20-05,,59238,,,,,,
20150718T21-05,,56779,,,,,,
20150718T22-05,,55133,,,,,,
20150718T23-05,,51839,,,,,,
20150719T00-05,,48206,,,,,,
20150719T01-05,,44798,,,,,,
20150719T02-05,,42054,,,,,,
20150719T03-05,,39989,,,,,,
20150719T04-05,,38439,,,,,,
20150719T05-05,,37283,,,,,,
20150719T06-05,,36698,,,,,,
20150719T07-05,,36236,,,,,,
20150719T08-05,,36588,,,,,,
20150719T09-05,,39700,,,,,,
20150719T10-05,,43497,,,,,,
20150719T11-05,,47514,,,,,,
20150719T12-05,,51471,,,,,,
20150719T13-05,,54999,,,,,,
20150719T14-05,,58095,,,,,,
20150719T15-05,,60149,,,,,,
20150719T16-05,,61845,,,,,,
20150719T17-05,,62808,,,,,,
20150719T18-05,,62936,,,,,,
20150719T19-05,,62107,,,,,,
20150719T20-05,,60055,,,,,,
20150719T21-05,,57822,,,,,,
20150719T22-05,,56186,,,,,,
20150719T23-05,,52476,,,,,,
20150720T00-05,,48238,,,,,,
20150720T01-05,,44605,,,,,,
20150720T02-05,,41806,,,,,,
20150720T03-05,,39782,,,,,,
20150720T04-05,,38566,,,,,,
20150720T05-05,,38226,,,,,,
20150720T06-05,,39110,,,,,,
20150720T07-05,,40537,,,,,,
20150720T08-05,,41630,,,,,,
20150720T09-05,,44496,,,,,,
20150720T10-05,,48125,,,,,,
20150720T11-05,,52250,,,,,,
20150720T12-05,,56047,,,,,,
20150720T13-05,,59434,,,,,,
20150720T14-05,,62327,,,,,,
20150720T15-05,,64568,,,,,,
20150720T16-05,,65731,,,,,,
20150720T17-05,,66172,,,,,,
20150720T18-05,,65959,,,,,,
20150720T19-05,,64761,,,,,,
20150720T20-05,,62358,,,,,,
20150720T21-05,,59821,,,,,,
20150720T22-05,,57749,,,,,,
20150720T23-05,,53638,,,,,,
