Panaderia Tierra Caliente #3,,,,
5800 Bellaire Blvd Ste 128,,,,
"Houston, TX 77081",,,,
,,,,
,,,,
,,,,
*** TOTAL INVENTORY REPORT BY MENU ITEM ***,,,,
From 04/17/2022 To 04/23/2022,,,,
,,,,
,,,,
SNAP CATEGORY,MENU ITEM,SALES AMOUNT,PERCENTAGE,QUANTITY
Hot Foods,CHOCOLATE ABUELITA 6, $ 48.02 ,0.10%,7
Accessory Foods,Denis Danes, $ 47.20 ,0.10%,26
Staple Foods,SALSA HABANERA, $ 46.97 ,0.10%,12
Accessory Foods,Campechana, $ 46.68 ,0.09%,30
Hot Foods,CHOCOLATE ABUELITA  12, $ 46.63 ,0.09%,4
Accessory Foods,Yoyo Mantequilla, $ 45.65 ,0.09%,32
Accessory Foods,PAST. 1/4 3 LECHES $35, $ 45.39 ,0.09%,1
Staple Foods,ACEITE VEGETAL 24, $ 45.13 ,0.09%,29
Accessory Foods,Cemita Nuez, $ 44.09 ,0.09%,17
Accessory Foods,Roles Canela, $ 43.83 ,0.09%,26
Accessory Foods,Galleta Carita Feliz, $ 43.57 ,0.09%,48
Accessory Foods,Carlota, $ 42.79 ,0.09%,11
Accessory Foods,Colchoncito, $ 41.50 ,0.08%,40
Accessory Foods,Flan Napolitano Slice, $ 40.85 ,0.08%,9
Staple Foods,GOYA CUBITOS POLLO, $ 40.12 ,0.08%,26
Staple Foods,CUAJADA FRESCO 14OZ, $ 39.49 ,0.08%,5
Accessory Foods,Chicharron, $ 39.42 ,0.08%,38
Staple Foods,QUESO FRES.TAMPIQ 1lb, $ 38.90 ,0.08%,5
Staple Foods,GOYA SARDINES 15oz, $ 38.75 ,0.08%,12
Staple Foods,VEGETALES MIXTOS 15oz, $ 38.47 ,0.08%,23
Staple Foods,MOLE VERACRUZANO, $ 37.93 ,0.08%,5
Accessory Foods,Uniconcha, $ 37.35 ,0.08%,36
Accessory Foods,Tortugas, $ 36.31 ,0.07%,20
Accessory Foods,Volteado de Pina, $ 34.23 ,0.07%,24
Accessory Foods,Galleta 3 Colores, $ 33.59 ,0.07%,37
Staple Foods,TROPICANA MANZANA 10oz, $ 32.99 ,0.07%,16
Accessory Foods,M's Queso, $ 32.68 ,0.07%,18
Accessory Foods,COCA COLA 2lt, $ 32.56 ,0.07%,9
Accessory Foods,Armadillo, $ 32.42 ,0.07%,25
Accessory Foods,Cup-cakes figura, $ 31.77 ,0.06%,7
Accessory Foods,Rines Plain, $ 31.38 ,0.06%,22
Accessory Foods,Galleta Espejito, $ 31.12 ,0.06%,30
Accessory Foods,Huesito Manteca, $ 31.12 ,0.06%,30
Accessory Foods,SANGRIA 330ml, $ 30.97 ,0.06%,12
Accessory Foods,Empanada Guayaba, $ 30.86 ,0.06%,28
Accessory Foods,Cachucha, $ 29.95 ,0.06%,21
Accessory Foods,Cocada, $ 29.57 ,0.06%,19
Accessory Foods,PAN DE FERIA 1.50, $ 29.18 ,0.06%,15
Staple Foods,Ques. Arroz Salv.(Red), $ 28.53 ,0.06%,4
Accessory Foods,Volcan o Granada, $ 28.53 ,0.06%,22
Accessory Foods,Cartera, $ 28.01 ,0.06%,24
Accessory Foods,Lengua, $ 28.01 ,0.06%,27
Hot Foods,Arroz con leche, $ 27.23 ,0.06%,6
Accessory Foods,Alamar, $ 26.97 ,0.05%,26
Staple Foods,COCO CHICA 11.8 OZ, $ 26.97 ,0.05%,16
Accessory Foods,Girasol, $ 26.97 ,0.05%,26
Accessory Foods,MARIA LUISA, $ 26.26 ,0.05%,9
Accessory Foods,Negrito con fruta, $ 25.93 ,0.05%,2
Accessory Foods,chocolate abuelita pac, $ 25.88 ,0.05%,4
Accessory Foods,Panuelo, $ 25.68 ,0.05%,18
Accessory Foods,Chilindrina, $ 24.90 ,0.05%,24
Accessory Foods,Pan de Piedra, $ 24.90 ,0.05%,24
Staple Foods,TROPICANA NARA 10, $ 24.74 ,0.05%,12
Accessory Foods,Papelillo, $ 24.64 ,0.05%,19
Accessory Foods,Rin decorado, $ 23.60 ,0.05%,13
Accessory Foods,Gatorade Lemon Lime, $ 23.22 ,0.05%,9
Staple Foods,TOPO CHICO 335ML, $ 23.22 ,0.05%,9
Accessory Foods,Almeja, $ 22.82 ,0.05%,16
Accessory Foods,Almohadilla, $ 22.82 ,0.05%,16
Accessory Foods,Reventada, $ 22.82 ,0.05%,22
Accessory Foods,Broca Crispy, $ 22.04 ,0.04%,17
Accessory Foods,Mil Hojas, $ 22.04 ,0.04%,10
Accessory Foods,Campechana Rellena, $ 21.79 ,0.04%,12
Accessory Foods,Empanada Arroz, $ 21.79 ,0.04%,14
Accessory Foods,Galleta Chocolate Chip, $ 21.79 ,0.04%,24
Accessory Foods,Galleta Peanut Butter, $ 20.88 ,0.04%,23
Accessory Foods,Galleta Sandia, $ 20.88 ,0.04%,23
Accessory Foods,Polvoron Fresa, $ 20.75 ,0.04%,20
Accessory Foods,Tronquito, $ 20.75 ,0.04%,20
Accessory Foods,MANZANA 500ML-16oz, $ 20.15 ,0.04%,6
Accessory Foods,Polvoron Chocolate, $ 19.71 ,0.04%,19
Accessory Foods,Elotito, $ 18.67 ,0.04%,18
Accessory Foods,Casco, $ 18.15 ,0.04%,14
Accessory Foods,Galleta Coco, $ 18.15 ,0.04%,20
